timestamp,cpu_percent,mem_used_gb,mem_available_gb,disk_read_mb,disk_write_mb,gpu_util_percent,gpu_mem_used_gb,gpu_mem_total_gb
2026-05-09T02:02:43.351764,1.5,11.89,18.61,245817.71,509432.31,25,2.09,8.0
2026-05-09T02:03:44.353898,1.7,11.88,18.61,245819.33,509443.38,59,2.09,8.0
2026-05-09T02:04:45.355571,1.6,11.88,18.61,245819.38,509461.54,26,2.09,8.0
2026-05-09T02:05:46.357375,1.6,11.89,18.61,245819.39,509480.14,25,2.09,8.0
2026-05-09T02:06:47.359615,1.7,11.89,18.6,245819.39,509504.7,28,2.09,8.0
2026-05-09T02:07:48.361392,1.8,11.89,18.61,245819.4,509525.17,58,2.09,8.0
2026-05-09T02:08:49.363206,1.8,11.91,18.59,245819.4,509537.19,27,2.09,8.0
2026-05-09T02:09:50.365496,1.7,11.9,18.59,245819.43,509555.85,28,2.09,8.0
2026-05-09T02:10:51.367468,2.4,11.92,18.58,245819.43,509575.28,33,2.09,8.0
2026-05-09T02:11:52.369548,2.6,11.92,18.58,245819.43,509600.8,26,2.09,8.0
2026-05-09T02:12:53.371327,1.9,11.93,18.56,245819.43,509622.59,31,2.09,8.0
2026-05-09T02:13:54.373077,1.8,11.95,18.55,245819.43,509633.76,27,2.09,8.0
2026-05-09T02:14:55.374941,1.6,11.94,18.56,245819.47,509651.65,27,2.09,8.0
2026-05-09T02:15:56.376730,1.7,11.96,18.53,245819.48,509672.74,26,2.09,8.0
2026-05-09T02:16:57.378446,1.6,11.97,18.53,245819.48,509695.97,26,2.09,8.0
2026-05-09T02:17:58.380265,1.8,11.97,18.53,245819.48,509708.93,32,2.09,8.0
2026-05-09T02:18:59.382069,1.8,11.97,18.53,245819.48,509726.66,32,2.09,8.0
2026-05-09T02:20:00.383842,1.5,11.97,18.53,245819.48,509745.57,26,2.09,8.0
2026-05-09T02:21:01.385868,1.8,11.97,18.53,245819.5,509768.89,27,2.09,8.0
2026-05-09T02:22:02.388207,1.7,11.98,18.52,245819.52,509790.58,27,2.09,8.0
2026-05-09T02:23:03.390269,1.8,11.98,18.51,245820.08,509842.13,25,2.09,8.0
2026-05-09T02:24:04.392133,1.7,11.98,18.52,245820.08,509864.14,28,2.09,8.0
2026-05-09T02:25:05.394194,1.4,12.01,18.48,245820.09,509885.99,27,2.09,8.0
2026-05-09T02:26:06.396549,1.6,12.0,18.49,245820.09,509905.63,27,2.09,8.0
2026-05-09T02:27:07.398383,1.6,12.02,18.48,245820.12,509928.38,26,2.09,8.0
2026-05-09T02:28:08.400193,1.5,12.01,18.49,245820.13,509940.66,27,2.09,8.0
2026-05-09T02:29:09.402335,1.5,12.02,18.48,245820.13,509960.07,58,2.09,8.0
2026-05-09T02:30:10.404057,1.8,12.0,18.49,245820.46,509981.56,25,2.09,8.0
2026-05-09T02:31:11.406124,1.7,12.01,18.49,245820.47,510007.23,26,2.09,8.0
2026-05-09T02:32:12.408439,1.7,12.0,18.49,245820.48,510018.03,55,2.09,8.0
2026-05-09T02:33:13.410538,1.5,12.0,18.49,245820.48,510039.15,26,2.09,8.0
2026-05-09T02:34:14.412268,1.5,12.01,18.49,245820.48,510058.83,58,2.09,8.0
2026-05-09T02:35:15.414170,1.8,12.01,18.49,245820.5,510082.39,27,2.09,8.0
2026-05-09T02:36:16.416508,1.8,11.91,18.58,245820.51,510105.04,58,2.09,8.0
2026-05-09T02:37:17.418597,1.9,11.92,18.58,245820.57,510125.47,27,2.09,8.0
2026-05-09T02:38:18.420494,1.8,11.95,18.55,245820.57,510146.28,27,2.09,8.0
2026-05-09T02:39:19.422251,1.5,11.95,18.55,245820.59,510157.46,27,2.09,8.0
2026-05-09T02:40:20.423971,1.6,11.92,18.58,245820.6,510176.5,59,2.09,8.0
2026-05-09T02:41:21.425761,1.9,11.95,18.55,245820.62,510200.39,28,2.09,8.0
2026-05-09T02:42:22.428038,1.6,11.94,18.56,245820.62,510220.89,27,2.09,8.0
2026-05-09T02:43:23.429830,1.8,11.95,18.55,245820.62,510242.27,33,2.09,8.0
2026-05-09T02:44:24.432150,1.8,11.95,18.54,245820.62,510255.91,27,2.09,8.0
2026-05-09T02:45:25.434101,1.7,11.95,18.55,245820.62,510274.35,27,2.09,8.0
2026-05-09T02:46:26.436692,1.9,11.96,18.53,245821.49,510299.26,26,2.09,8.0
2026-05-09T02:47:27.438515,1.9,11.96,18.53,245821.49,510311.71,57,2.09,8.0
2026-05-09T02:48:28.440392,1.7,11.97,18.52,245821.52,510332.1,27,2.09,8.0
2026-05-09T02:49:29.442624,1.8,11.96,18.54,245821.53,510352.5,33,2.09,8.0
2026-05-09T02:50:30.444635,1.7,11.99,18.51,245821.53,510373.48,26,2.09,8.0
2026-05-09T02:51:31.446936,1.7,11.97,18.52,245821.54,510396.73,27,2.09,8.0
2026-05-09T02:52:32.448995,2.4,11.98,18.51,245821.54,510418.6,27,2.09,8.0
2026-05-09T02:53:33.451289,1.6,11.98,18.52,245821.54,510431.06,25,2.09,8.0
2026-05-09T02:54:34.453477,2.5,12.02,18.48,245821.54,510453.26,26,2.09,8.0
2026-05-09T02:55:35.455852,1.8,12.0,18.5,245821.55,510475.94,27,2.09,8.0
2026-05-09T02:56:36.457583,1.6,11.99,18.51,245821.57,510499.74,25,2.09,8.0
2026-05-09T02:57:37.459851,1.7,11.99,18.5,245821.57,510511.44,27,2.09,8.0
2026-05-09T02:58:38.461756,1.6,12.01,18.48,245821.58,510532.22,27,2.09,8.0
2026-05-09T02:59:39.463922,1.6,12.01,18.48,245821.58,510550.83,27,2.09,8.0
2026-05-09T03:00:40.465683,1.6,12.02,18.48,245822.17,510572.04,27,2.09,8.0
2026-05-09T03:01:41.467883,2.2,12.04,18.45,245822.19,510595.99,27,2.09,8.0
2026-05-09T03:02:42.470161,1.8,12.02,18.48,245822.21,510609.35,25,2.09,8.0
2026-05-09T03:03:43.472029,1.8,12.06,18.44,245822.32,510635.6,27,2.09,8.0
2026-05-09T03:04:44.473819,1.4,12.06,18.44,245822.32,510656.28,53,2.09,8.0
2026-05-09T03:05:45.475940,1.7,12.08,18.42,245822.32,510678.34,26,2.09,8.0
2026-05-09T03:06:46.478215,1.8,12.06,18.44,245822.32,510694.07,59,2.09,8.0
2026-05-09T03:07:47.480210,1.7,12.06,18.44,245822.33,510716.65,27,2.09,8.0
2026-05-09T03:08:48.482460,1.6,12.07,18.42,245822.33,510740.08,25,2.09,8.0
2026-05-09T03:09:49.484423,1.9,12.06,18.43,245822.33,510760.32,54,2.09,8.0
2026-05-09T03:10:50.486202,1.8,12.07,18.43,245822.34,510782.09,26,2.09,8.0
2026-05-09T03:11:51.488015,1.7,12.07,18.43,245822.35,510796.67,58,2.09,8.0
2026-05-09T03:12:52.489907,1.6,12.12,18.37,245822.35,510820.66,27,2.09,8.0
2026-05-09T03:13:53.491610,1.4,12.02,18.48,245822.35,510842.57,37,2.09,8.0
2026-05-09T03:14:54.493843,1.5,12.03,18.46,245822.35,510863.34,26,2.09,8.0
2026-05-09T03:15:55.495827,3.0,12.02,18.48,245822.37,510883.36,25,2.09,8.0
2026-05-09T03:16:56.498073,1.5,12.03,18.46,245822.37,510900.42,28,2.09,8.0
2026-05-09T03:17:57.500074,1.6,12.03,18.47,245822.39,510923.24,26,2.09,8.0
2026-05-09T03:18:58.502383,1.7,12.02,18.48,245822.4,510944.25,27,2.09,8.0
2026-05-09T03:19:59.504325,1.6,12.01,18.49,245822.4,510963.17,26,2.09,8.0
2026-05-09T03:21:00.506613,1.6,12.04,18.45,245822.4,510974.55,26,2.1,8.0
2026-05-09T03:22:01.508532,1.8,12.02,18.48,245822.57,510999.92,50,2.1,8.0
2026-05-09T03:23:02.510291,1.6,12.11,18.39,245822.57,511048.25,27,2.1,8.0
2026-05-09T03:24:03.512137,1.8,12.04,18.45,245822.58,511071.81,27,2.1,8.0
2026-05-09T03:25:04.513855,1.9,12.04,18.46,245897.57,511093.87,27,2.1,8.0
2026-05-09T03:26:05.515829,1.7,12.04,18.46,245897.57,511113.71,27,2.1,8.0
2026-05-09T03:27:06.518108,1.6,12.03,18.47,245897.57,511130.5,27,2.1,8.0
2026-05-09T03:28:07.520108,1.4,12.04,18.45,245897.57,511151.92,27,2.1,8.0
